vehicle_id,type,capacity,driver_name,contact
1,bike,435.39,Erin Manning,018.569.5970x15265
2,tempo,434.75,Michael Jackson,8952655862
3,bike,400.31,Jo Hendricks,(298)503-3488x347
4,van,376.27,John Finley,001-821-191-9286x9568
5,tempo,376.16,Emily Farmer,(508)693-6195x18169
6,bike,106.02,Laura French,3420068253
7,rickshaw,391.65,James Anderson,(626)555-7939x71893
8,tempo,404.07,Elizabeth Day,983-038-7452x65586
9,bike,168.51,Anna Mooney,376-804-2812x5477
10,bike,213.94,Elizabeth Cruz,(466)221-6001
11,rickshaw,380.37,Linda Melton,001-216-598-4835
12,bike,125.88,Anthony Ellis,(755)490-0322x56147
13,van,291.23,Whitney Hughes,(560)355-3597
14,van,291.72,Jeffrey Graham,591-850-7901
15,tempo,345.5,Karen Smith,(814)239-8206x8938
16,bike,343.04,Michael Graham,+1-704-661-3758x31617
17,van,422.0,Barry Garza,001-522-490-4138x96150
18,bike,439.45,Janice Tucker,+1-358-220-2134
19,van,105.75,Nicole Evans,+1-586-172-3685x220
20,rickshaw,343.2,Brooke Gallagher,001-408-144-5388x33804
21,tempo,458.91,Alyssa Herrera,505-446-0861
22,bike,261.11,Ashley Dunlap,+1-125-928-2223x3652
23,rickshaw,416.83,Penny Bishop,(597)907-2015x229
24,tempo,232.8,James Pacheco,6706118095
25,rickshaw,450.09,Jennifer Brown,745-017-7972x62328
26,rickshaw,142.44,Thomas Jones,+1-860-114-3956
27,van,188.98,Raymond Anderson,+1-015-181-0913x3483
28,van,320.9,Justin Jacobs,990-620-8764
29,bike,222.8,Katrina Hall,001-497-067-8632
30,rickshaw,267.23,Keith Reed,405-596-9306x994
31,bike,247.18,John Potter,(161)990-7445
32,tempo,439.18,Kristi Thompson,965-982-4862x696
33,bike,317.38,Gail Williams,001-471-581-9598x35990
34,rickshaw,494.15,Kari Freeman,382.748.9743
35,bike,204.83,Julia Anderson,001-241-370-5251x5869
36,bike,223.29,Donna Alvarez,+1-078-460-4538
37,bike,295.13,Andrea Jones,0435367047
38,bike,317.95,Adrian Bender,745.816.3086
39,bike,112.18,John Mccall,982-749-0790
40,tempo,112.02,Emily Frazier,9027347983
41,van,402.11,Gregory George,224.567.8082x3156
42,tempo,429.59,Joseph Mora,233.522.8942x34954
43,bike,191.93,Tiffany Lowery,164-125-5010
44,van,253.15,John Coffey Jr.,(680)716-8239x919
45,bike,149.35,Jeremy Thomas,+1-019-188-1840x935
46,bike,310.39,Cassandra Weeks,488-578-0799x1590
47,bike,193.76,Alan Henry,303.911.8425
48,rickshaw,184.06,Angela Martinez,+1-851-496-1511
49,tempo,484.09,Cassandra Wright,271.047.7075x5014
50,rickshaw,311.47,Jeffrey Kramer,699-126-2410x552
